gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC004808.2	NA	NA	NA
AC004812.1	NA	NA	NA
AC004812.2	NA	NA	NA
AC004815.1	NA	NA	NA
AC004816.1	NA	NA	NA
AC004816.2	NA	NA	NA
AC004817.1	NA	NA	NA
AC004817.2	NA	NA	NA
AC004817.3	NA	NA	NA
AC004817.4	NA	NA	NA
AC004824.1	NA	NA	NA
AC004825.1	NA	NA	NA
AC004825.2	NA	NA	NA
AC004828.1	NA	NA	NA
AC004830.1	NA	NA	NA
AC004832.1	NA	NA	NA
AC004832.2	NA	NA	NA
AC004832.3	NA	NA	NA
AC004832.4	NA	NA	NA
AC004832.5	NA	NA	NA
AC004832.6	NA	NA	NA
AC004834.1	NA	NA	NA
AC004835.1	NA	NA	NA
AC004835.2	NA	NA	NA
AC004836.1	NA	NA	NA
AC004837.1	NA	NA	NA
AC004837.2	NA	NA	NA
AC004837.3	NA	NA	NA
AC004839.1	NA	NA	NA
AC004840.1	NA	NA	NA
AC004840.2	NA	NA	NA
AC004846.1	NA	NA	NA
AC004846.2	NA	NA	NA
AC004847.1	NA	NA	NA
AC004852.1	NA	NA	NA
AC004852.2	NA	NA	NA
AC004852.3	NA	NA	NA
AC004853.1	NA	NA	NA
AC004853.2	NA	NA	NA
AC004854.1	NA	NA	NA
AC004854.2	NA	NA	NA
AC004858.1	NA	NA	NA
AC004862.1	NA	NA	NA
AC004865.1	NA	NA	NA
AC004865.2	NA	NA	NA
AC004866.1	NA	NA	NA
AC004866.2	NA	NA	NA
AC004869.1	NA	NA	NA
AC004869.2	NA	NA	NA
AC004870.1	NA	NA	NA
AC004870.2	NA	NA	NA
AC004870.3	NA	NA	NA
AC004870.4	NA	NA	NA
AC004872.1	NA	NA	NA
AC004875.1	NA	NA	NA
AC004877.1	NA	NA	NA
AC004877.2	NA	NA	NA
AC004882.1	NA	NA	NA
AC004882.2	NA	NA	NA
AC004884.1	NA	NA	NA
AC004884.2	NA	NA	NA
AC004888.1	NA	NA	NA
AC004889.1	NA	NA	NA
AC004890.1	NA	NA	NA
AC004890.2	NA	NA	NA
AC004890.3	NA	NA	NA
AC004893.1	NA	NA	NA
AC004893.2	NA	NA	NA
AC004895.1	NA	NA	NA
AC004898.1	NA	NA	NA
AC004899.1	NA	NA	NA
AC004899.2	NA	NA	NA
AC004906.1	NA	NA	NA
AC004908.1	NA	NA	NA
AC004908.2	NA	NA	NA
AC004908.3	NA	NA	NA
AC004910.1	NA	NA	NA
AC004911.1	NA	NA	NA
AC004917.1	NA	NA	NA
AC004918.1	NA	NA	NA
AC004918.3	NA	NA	NA
AC004920.1	NA	NA	NA
AC004921.1	NA	NA	NA
AC004922.1	NA	NA	NA
AC004923.1	NA	NA	NA
AC004923.2	NA	NA	NA
AC004923.3	NA	NA	NA
AC004923.4	NA	NA	NA
AC004924.1	NA	NA	NA
AC004925.1	NA	NA	NA
AC004930.1	NA	NA	NA
AC004936.1	NA	NA	NA
AC004938.1	NA	NA	NA
AC004941.1	NA	NA	NA
AC004941.2	NA	NA	NA
AC004943.1	NA	NA	NA
AC004943.2	NA	NA	NA
AC004943.3	NA	NA	NA
AC004944.1	NA	NA	NA
AC004945.1	NA	NA	NA
AC004946.1	NA	NA	NA
AC004947.1	NA	NA	NA
AC004947.2	NA	NA	NA
AC004948.1	NA	NA	NA
AC004951.1	NA	NA	NA
AC004951.2	NA	NA	NA
AC004951.3	NA	NA	NA
AC004951.4	NA	NA	NA
AC004965.1	NA	NA	NA
AC004967.1	NA	NA	NA
AC004969.1	NA	NA	NA
AC004972.1	NA	NA	NA
AC004973.1	NA	NA	NA
AC004975.1	NA	NA	NA
AC004975.2	NA	NA	NA
AC004980.1	NA	NA	NA
AC004980.2	NA	NA	NA
AC004980.3	NA	NA	NA
AC004980.4	NA	NA	NA
AC004982.1	NA	NA	NA
AC004982.2	NA	NA	NA
AC004986.1	NA	NA	NA
AC004987.1	NA	NA	NA
AC004987.2	NA	NA	NA
AC004987.3	NA	NA	NA
AC004987.4	NA	NA	NA
AC004988.1	NA	NA	NA
AC004990.1	NA	NA	NA
AC004994.1	NA	NA	NA
AC004997.1	NA	NA	NA
AC005000.1	NA	NA	NA
AC005000.2	NA	NA	NA
AC005002.1	NA	NA	NA
AC005002.2	NA	NA	NA
AC005005.1	NA	NA	NA
AC005005.2	NA	NA	NA
AC005005.3	NA	NA	NA
AC005005.4	NA	NA	NA
AC005006.1	NA	NA	NA
AC005008.1	NA	NA	NA
AC005008.2	NA	NA	NA
AC005009.1	NA	NA	NA
AC005009.2	NA	NA	NA
AC005011.1	NA	NA	NA
AC005013.1	NA	NA	NA
AC005014.1	NA	NA	NA
AC005014.2	NA	NA	NA
AC005014.3	NA	NA	NA
AC005017.1	NA	NA	NA
AC005019.1	NA	NA	NA
AC005019.2	NA	NA	NA
AC005020.1	NA	NA	NA
AC005020.2	NA	NA	NA
AC005021.1	NA	NA	NA
AC005033.1	NA	NA	NA
AC005034.1	NA	NA	NA
AC005034.2	NA	NA	NA
AC005034.3	NA	NA	NA
AC005034.4	NA	NA	NA
AC005034.5	NA	NA	NA
AC005035.1	NA	NA	NA
AC005037.1	NA	NA	NA
AC005040.1	NA	NA	NA
AC005041.1	NA	NA	NA
AC005041.2	NA	NA	NA
AC005041.3	NA	NA	NA
AC005042.1	NA	NA	NA
AC005042.2	NA	NA	NA
AC005042.3	NA	NA	NA
AC005046.1	NA	NA	NA
AC005050.1	NA	NA	NA
AC005052.1	NA	NA	NA
AC005056.1	NA	NA	NA
AC005062.1	NA	NA	NA
AC005064.1	NA	NA	NA
AC005066.1	NA	NA	NA
AC005070.1	NA	NA	NA
AC005070.2	NA	NA	NA
AC005070.3	NA	NA	NA
AC005072.1	NA	NA	NA
AC005076.1	NA	NA	NA
AC005077.1	NA	NA	NA
AC005077.2	NA	NA	NA
AC005077.3	NA	NA	NA
AC005077.4	NA	NA	NA
AC005082.1	NA	NA	NA
AC005083.1	NA	NA	NA
AC005084.1	NA	NA	NA
AC005086.1	NA	NA	NA
AC005086.2	NA	NA	NA
AC005086.3	NA	NA	NA
AC005086.4	NA	NA	NA
AC005088.1	NA	NA	NA
AC005089.1	NA	NA	NA
AC005090.1	NA	NA	NA
AC005091.1	NA	NA	NA
AC005094.1	NA	NA	NA
AC005096.1	NA	NA	NA
AC005099.1	NA	NA	NA
AC005102.1	NA	NA	NA
AC005104.1	NA	NA	NA
AC005104.2	NA	NA	NA
AC005105.1	NA	NA	NA
AC005144.1	NA	NA	NA
AC005150.1	NA	NA	NA
AC005154.1	NA	NA	NA
AC005154.2	NA	NA	NA
AC005154.3	NA	NA	NA
AC005154.4	NA	NA	NA
AC005154.5	NA	NA	NA
AC005154.6	NA	NA	NA
AC005156.1	NA	NA	NA
AC005160.1	NA	NA	NA
AC005162.1	NA	NA	NA
AC005162.2	NA	NA	NA
AC005162.3	NA	NA	NA
AC005165.1	NA	NA	NA
AC005165.2	NA	NA	NA
AC005176.1	NA	NA	NA
AC005176.2	NA	NA	NA
AC005178.1	NA	NA	NA
AC005180.1	NA	NA	NA
AC005180.2	NA	NA	NA
AC005181.1	NA	NA	NA
AC005183.1	NA	NA	NA
AC005185.1	NA	NA	NA
AC005186.1	NA	NA	NA
AC005189.1	NA	NA	NA
AC005191.1	NA	NA	NA
AC005197.1	NA	NA	NA
AC005208.1	NA	NA	NA
AC005209.1	NA	NA	NA
AC005220.1	NA	NA	NA
AC005224.1	NA	NA	NA
AC005224.2	NA	NA	NA
AC005224.3	NA	NA	NA
AC005224.4	NA	NA	NA
AC005225.1	NA	NA	NA
AC005225.2	NA	NA	NA
AC005225.3	NA	NA	NA
AC005225.4	NA	NA	NA
AC005225.5	NA	NA	NA
AC005229.1	NA	NA	NA
AC005229.2	NA	NA	NA
AC005229.3	NA	NA	NA
AC005229.4	NA	NA	NA
AC005230.1	NA	NA	NA
AC005234.1	NA	NA	NA
AC005237.1	NA	NA	NA
AC005237.2	NA	NA	NA
AC005242.1	NA	NA	NA
AC005244.1	NA	NA	NA
AC005244.2	NA	NA	NA
AC005252.1	NA	NA	NA
AC005252.2	NA	NA	NA
AC005252.3	NA	NA	NA
AC005253.1	NA	NA	NA
AC005253.2	NA	NA	NA
AC005255.1	NA	NA	NA
AC005256.1	NA	NA	NA
AC005258.1	NA	NA	NA
AC005261.1	NA	NA	NA
AC005261.2	NA	NA	NA
AC005261.3	NA	NA	NA
AC005261.4	NA	NA	NA
AC005261.5	NA	NA	NA
